ジャンル名,売上指数（千円）,シェア,商品ランク入り数
ココナッツミルク,4754,47.95%,562
その他,2606,26.29%,1004
魚醤・ナンプラー,1909,19.26%,576
スイートチリソース,645,6.51%,292
