ジャンル名,売上指数（千円）,シェア,商品ランク入り数
さくらんぼ,248422,20.73%,6763
みかん,137116,11.44%,9930
マンゴー,117208,9.78%,4649
メロン,107285,8.95%,6085
梅,99332,8.29%,4959
セット・詰め合わせ,93698,7.82%,4301
りんご,63157,5.27%,3161
桃,47169,3.94%,3507
スイカ,34145,2.85%,2901
ブドウ,28178,2.35%,1759
ブルーベリー,23327,1.95%,1338
ライチ,20920,1.75%,798
レモン,20114,1.68%,2615
びわ,19886,1.66%,1203
いちご,19735,1.65%,1983
その他,17640,1.47%,2581
柿,12716,1.06%,771
パイナップル,11759,0.98%,1470
キウイフルーツ,9535,0.80%,794
プラム,8858,0.74%,419
ザクロ,8259,0.69%,511
和梨,7908,0.66%,466
オレンジ,7718,0.64%,952
あんず,5875,0.49%,493
マンゴスチン,3748,0.31%,178
パッションフルーツ,3647,0.30%,324
栗,3558,0.30%,509
バナナ,3547,0.30%,594
グレープフルーツ,3179,0.27%,458
ドリアン,2368,0.20%,235
すだち,1923,0.16%,265
パパイヤ,1326,0.11%,218
イチジク,1248,0.10%,252
アボカド,1188,0.10%,321
ドラゴンフルーツ,1124,0.09%,164
ゆず,805,0.07%,184
じゃばら,535,0.04%,104
洋梨,176,0.01%,29
ミラクルフルーツ,157,0.01%,26
かぼす,126,0.01%,31
