ジャンル名,売上指数（千円）,シェア,商品ランク入り数
丼,282004,34.45%,5054
蒲焼き,133578,16.32%,4993
みそ汁,84207,10.29%,10301
セット・詰め合わせ,53761,6.57%,4292
その他,38320,4.68%,7912
佃煮,34744,4.24%,9090
お茶漬け,23814,2.91%,2826
雑炊,20437,2.50%,1418
焼豚,18384,2.25%,1167
寿司,16020,1.96%,2172
唐揚げ,14508,1.77%,1089
煮物,13033,1.59%,2487
おにぎり,12597,1.54%,1218
焼き鳥・つくね,9930,1.21%,1556
ひつまぶし,9927,1.21%,267
お粥,9570,1.17%,1918
お好み焼き,7967,0.97%,1070
刺身・たたき,6985,0.85%,735
お吸い物,5134,0.63%,835
おでん,4333,0.53%,962
たこ焼き,4220,0.52%,665
焼き魚,3675,0.45%,393
茶碗蒸し,2793,0.34%,213
おこわ,2381,0.29%,530
白焼き,2325,0.28%,272
天ぷら,2146,0.26%,450
赤飯,1226,0.15%,265
天かす・揚げ玉,324,0.04%,128
卵焼き,110,0.01%,127
もんじゃ焼き,102,0.01%,110
なます・酢の物,12,0.00%,87
おひたし,0,0.00%,84
卯の花,0,0.00%,84
