ジャンル名,売上指数（千円）,シェア,商品ランク入り数
筆記具,445410,28.86%,129872
手帳・ノート・紙製品,211527,13.71%,96343
画材,113591,7.36%,30032
ギフトラッピング用品,97142,6.30%,52940
ファイル・バインダー,88238,5.72%,28721
その他,81306,5.27%,19889
机上収納・整理用品,73971,4.79%,15250
プレゼンテーション用品,71213,4.61%,8854
ラベル・ステッカー,69671,4.51%,31211
写真整理用品,66673,4.32%,11871
セロハンテープ・のり・接着剤,38628,2.50%,14706
書道用具,38596,2.50%,9897
はさみ・裁断用品,35089,2.27%,9505
ブックカバー,22139,1.43%,5245
製図用品,15690,1.02%,5919
クリップ・結束用具,14420,0.93%,7371
ホッチキス・穴あきパンチ,11101,0.72%,3545
名札,10913,0.71%,3845
マグネットシート,8687,0.56%,1362
マグネット,7588,0.49%,3531
紙幣計数機・コインカウンタ,6939,0.45%,334
画鋲・ピン,3600,0.23%,1348
チェックライター・ナンバーリング,2441,0.16%,268
製本機,2045,0.13%,852
ブックマーク・しおり,1921,0.12%,1165
紙めくり・事務用スポンジ,1719,0.11%,1165
下敷き,1621,0.11%,1247
タスキ・腕章,782,0.05%,202
レタースケール,486,0.03%,135
事務用品(1703削除),3,0.00%,0
