ジャンル名,売上指数（千円）,シェア,商品ランク入り数
セット・詰め合わせ,79776,29.05%,3835
ベーグル,44097,16.06%,2216
クロワッサン,36950,13.46%,1466
菓子パン,31451,11.45%,3369
食パン,22249,8.10%,2986
その他,13886,5.06%,2257
デニッシュ,10599,3.86%,1516
ロールパン,8814,3.21%,967
スコーン,8650,3.15%,873
惣菜パン,7128,2.60%,1261
フランスパン,5040,1.84%,615
ドイツパン,3561,1.30%,891
ナン,1290,0.47%,161
プレッツェル,659,0.24%,135
フォカッチャ,205,0.07%,27
グリッシーニ,108,0.04%,40
イングリッシュマフィン,105,0.04%,59
