ジャンル名,売上指数（千円）,シェア,商品ランク入り数
丼,192316,20.65%,4965
蒲焼き,153284,16.46%,5480
みそ汁,129316,13.89%,12967
セット・詰め合わせ,113049,12.14%,6680
佃煮,51957,5.58%,10758
その他,44252,4.75%,8247
唐揚げ,35517,3.81%,1947
お茶漬け,34735,3.73%,3202
雑炊,32737,3.52%,1362
お粥,16552,1.78%,2903
おにぎり,16517,1.77%,1567
寿司,16072,1.73%,2333
煮物,14534,1.56%,2911
焼豚,10483,1.13%,1097
お好み焼き,10371,1.11%,1066
お吸い物,10069,1.08%,1494
おでん,9230,0.99%,1370
焼き鳥・つくね,8679,0.93%,1441
刺身・たたき,6673,0.72%,630
おこわ,4963,0.53%,709
たこ焼き,4520,0.49%,718
焼き魚,3776,0.41%,456
天ぷら,3084,0.33%,622
ひつまぶし,2688,0.29%,208
白焼き,2125,0.23%,219
赤飯,1730,0.19%,315
茶碗蒸し,1180,0.13%,180
卵焼き,401,0.04%,104
天かす・揚げ玉,321,0.03%,75
もんじゃ焼き,103,0.01%,17
おひたし,32,0.00%,13
なます・酢の物,7,0.00%,1
卯の花,3,0.00%,1
