ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オートミール,39718,48.19%,3223
その他,21122,25.63%,3703
グラノーラ,17000,20.63%,1922
ミューズリー,1708,2.07%,209
ブラン,1454,1.76%,197
コーンフレーク,1150,1.39%,254
玄米フレーク,271,0.33%,174
