ジャンル名,売上指数（千円）,シェア,商品ランク入り数
シャワーヘッド,754254,41.42%,11688
入浴剤,238565,13.10%,25655
バスマット,133841,7.35%,10883
ソープボトル・シャンプーボトル,109689,6.02%,8762
整理棚・ラック,95503,5.24%,9216
椅子,77742,4.27%,5632
その他,76345,4.19%,10260
風呂ふた,67722,3.72%,4643
自動ソープディスペンサー,61663,3.39%,2356
タオルハンガー,52685,2.89%,6038
サウナハット,31484,1.73%,2115
ボディタオル,27441,1.51%,6907
洗面器・風呂桶,17200,0.94%,2695
浴槽・浴室内マット,16955,0.93%,1783
石けんケース・石けん台,10079,0.55%,2813
ボディスポンジ,8991,0.49%,2157
バス保温器,8906,0.49%,299
ボディブラシ,8660,0.48%,1495
セット,7465,0.41%,789
シャワーヘッドホルダー・シャワーフック,6701,0.37%,1152
シャワーカーテン,4110,0.23%,1047
バスピロー,2198,0.12%,389
泡立てネット,1322,0.07%,487
バスブーツ,836,0.05%,214
軽石,767,0.04%,298
