ジャンル名,売上指数（千円）,シェア,商品ランク入り数
油,179236,15.66%,24572
だし,162469,14.19%,20489
しお,84013,7.34%,17060
しょうゆ,82193,7.18%,18771
ソース・たれ,72257,6.31%,20644
砂糖・甘味料,68491,5.98%,12253
酢,66457,5.81%,9970
めんつゆ,60886,5.32%,6860
スパイス,59547,5.20%,22613
セット・詰め合わせ,37912,3.31%,3666
その他,36846,3.22%,8019
ふりかけ,33451,2.92%,10984
みそ,30532,2.67%,12363
ドレッシング,27605,2.41%,9091
ミックススパイス・混合調味料,24775,2.16%,6483
料理の素,16711,1.46%,7269
中華調味料,15799,1.38%,6272
みりん,13077,1.14%,2346
ポン酢,13062,1.14%,4378
麹,11886,1.04%,2347
アジアン・エスニック調味料,7053,0.62%,2404
マヨネーズ,6584,0.58%,2298
韓国調味料,5795,0.51%,2954
ケチャップ,4605,0.40%,1893
酒粕,4137,0.36%,826
ハーブ,3947,0.34%,2919
わさび,3859,0.34%,1468
料理酒,3455,0.30%,966
からし・マスタード,2615,0.23%,1565
ラーメンスープ,2266,0.20%,1031
ラード,1959,0.17%,192
生わさび,1305,0.11%,344
