ジャンル名,売上指数（千円）,シェア,商品ランク入り数
オリーブオイル,79074,30.59%,8544
こめ油,40798,15.78%,2745
ココナッツオイル,24465,9.47%,2139
ごま油,20296,7.85%,2942
亜麻仁油,18570,7.18%,1273
セット・詰め合わせ,18233,7.05%,1892
その他,16646,6.44%,2501
サラダ油,10323,3.99%,559
なたね油・キャノーラ油,9873,3.82%,1298
えごま油,9244,3.58%,1146
グレープシードオイル,4272,1.65%,202
大豆油,3500,1.35%,143
アボカドオイル,675,0.26%,138
ひまわり油,662,0.26%,142
トリュフオイル,596,0.23%,171
べに花油,570,0.22%,198
椿油,415,0.16%,113
玄米油,152,0.06%,89
ピーナッツオイル,55,0.02%,88
コーン油,37,0.01%,76
マスタードオイル,20,0.01%,75
