ジャンル名,売上指数（千円）,シェア,商品ランク入り数
豆類,133425,21.42%,21376
にんにく,87804,14.09%,6817
サツマイモ,79680,12.79%,7386
その他野菜,53199,8.54%,9241
たまねぎ,32928,5.29%,3591
きのこ,32142,5.16%,5509
セット・詰め合わせ,28895,4.64%,2866
ジャガイモ,26595,4.27%,3602
生姜,26540,4.26%,2460
トマト,25680,4.12%,2100
カット野菜,13890,2.23%,1720
その他,13634,2.19%,2528
ねぎ,13453,2.16%,1854
にんじん,13111,2.10%,1777
里芋,6331,1.02%,1126
かぼちゃ,5947,0.95%,814
山菜,5773,0.93%,886
ごぼう,4808,0.77%,1203
大根,4795,0.77%,952
とうもろこし,3294,0.53%,828
水煮野菜,2857,0.46%,555
キャベツ,2147,0.34%,643
ほうれん草,1754,0.28%,597
らっきょう,923,0.15%,155
白菜,877,0.14%,329
レタス,653,0.10%,234
キュウリ,587,0.09%,200
ナス,513,0.08%,258
アスパラガス,485,0.08%,129
ニラ,288,0.05%,110
