ジャンル名,売上指数（千円）,シェア,商品ランク入り数
仏壇,81757,43.00%,1872
位牌,22847,12.02%,1449
その他,20737,10.91%,3211
具足・仏具セット,12669,6.66%,1013
りん,11974,6.30%,1341
骨壷,9613,5.06%,1173
仏像,5686,2.99%,395
掛軸,4344,2.28%,629
盆提灯,3083,1.62%,354
経机,2910,1.53%,316
香炉,2714,1.43%,587
仏花,1971,1.04%,431
線香立,1828,0.96%,755
花立,1576,0.83%,355
具足,1382,0.73%,212
香炉灰・香炉石,1015,0.53%,518
経本,881,0.46%,427
香道具,759,0.40%,238
骨袋,690,0.36%,247
仏具用お手入れ用品,519,0.27%,262
木魚,489,0.26%,59
香立て,307,0.16%,112
線香着火器,290,0.15%,179
水晶玉,94,0.05%,28
